Time,Data
2001-01-01,32.87878787878788
2002-01-01,32.87878787878788
2003-01-01,33.18181818181819
2004-01-01,33.63636363636363
2005-01-01,33.63636363636363
2006-01-01,33.78787878787879
2007-01-01,34.090909090909086
2008-01-01,34.39393939393939
2009-01-01,35
2010-01-01,35.303030303030305
2011-01-01,35.75757575757576
2012-01-01,36.06060606060606
2013-01-01,36.36363636363637
2014-01-01,37.121212121212125
2015-01-01,37.878787878787875
2016-01-01,38.484848484848484
2017-01-01,39.09090909090909
2018-01-01,40.45454545454545
2019-01-01,40.909090909090914
2020-01-01,41.515151515151516
