time,temp_celsius
06.10.2002,31.0
14.07.2001,36.3
07.09.2001,36.8
21.05.2002,39.5
30.05.2002,39.5
22.06.2002,39.5
24.07.2002,38.3
09.08.2002,37.2
25.08.2002,34.1
12.10.2002,35.4
28.10.2002,34.3
04.11.2002,34.6
25.06.2003,17.8
11.07.2003,42.1
12.08.2003,40.5
28.08.2003,40.3
26.05.2004,43.5
27.07.2004,35.4
13.07.2004,46.2
29.07.2004,45.7
14.08.2004,42.2
06.02.2005,42.2
27.04.2005,39.0
