Time,Data
2001-01-01,85.8974358974359
2002-01-01,85.8974358974359
2003-01-01,85.8974358974359
2004-01-01,85.99605522682445
2005-01-01,85.99605522682445
2006-01-01,86.19329388560158
2007-01-01,86.29191321499013
2008-01-01,86.68639053254438
2009-01-01,87.08086785009861
2010-01-01,87.47534516765286
2011-01-01,87.86982248520711
2012-01-01,88.16568047337277
2013-01-01,88.56015779092702
2014-01-01,88.95463510848126
2015-01-01,89.15187376725838
2016-01-01,89.44773175542406
2017-01-01,89.54635108481263
2018-01-01,89.64497041420118
2019-01-01,90.23668639053254
2020-01-01,90.92702169625247
