Time,CO_column_number_density
2020-1-1,0.016
2020-2-1,0.017
2020-3-1,0.016
2020-4-1,0.017
2020-5-1,0.018
2020-6-1,0.019
2020-7-1,0.019
2020-8-1,0.020
2020-9-1,0.023
2020-10-1,0.022
2020-11-1,0.019
2020-12-1,0.017
2021-1-1,0.024
2021-2-1,0.022
2021-3-1,0.018
2021-4-1,0.019
2021-5-1,0.020
2021-6-1,0.020
2021-7-1,0.021
2021-8-1,0.022
2021-9-1,0.026
2021-10-1,0.028
2021-11-1,0.021
2021-12-1,0.019

